,full_name,age,birthday_GMT,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_club_top_scorer
471,Troy Deeney,34,6/29/1988,Forward,Watford,2548,1298,1250,England,32,16,16,9,3,6,5,1,4,1,0,5,3,2,43,23,20,5,1,0.49,0.18,0.32,0.21,0.43,283,1.52,59,80,425,510,0.21,2
475,Victor Camarasa,28,5/28/1994,Midfielder,Cardiff City,2579,1267,1312,Spain,32,16,16,5,4,1,4,1,3,1,0,8,4,4,48,25,23,6,0,0.31,0.14,0.17,0.28,0.07,516,1.68,54,81,430,645,0.21,1
476,Victor Lindelof,28,7/17/1994,Defender,Manchester United,2602,1112,1490,Sweden,30,13,17,1,1,0,1,0,1,0,0,6,2,4,38,13,25,1,0,0.07,0.03,0.03,0.08,0,2602,1.31,68,87,2602,2602,0.03,14
478,Victor Wanyama,31,6/25/1991,Midfielder,Tottenham Hotspur,509,302,207,Kenya,13,9,4,1,1,0,0,0,0,0,0,6,4,2,3,3,0,2,0,0.18,0,0.18,0.3,0,509,0.53,170,39,255,0,0.35,11
480,Vincent Kompany,36,4/10/1986,Defender,Manchester City,1223,561,662,Belgium,17,8,9,1,1,0,0,0,0,0,0,7,3,4,7,3,4,6,0,0.07,0,0.07,0.16,0,1223,0.52,175,72,204,0,0.44,12
481,Virgil van Dijk,31,7/8/1991,Defender,Liverpool,3385,1675,1710,Netherlands,38,19,19,4,2,2,2,1,1,0,0,21,12,9,19,8,11,1,0,0.16,0.05,0.11,0.11,0.11,846,0.51,178,89,3385,1693,0.03,6
483,Wes Morgan,38,1/21/1984,Defender,Leicester City,1926,783,1143,Jamaica,22,9,13,3,1,2,0,0,0,0,0,6,3,3,24,9,15,5,2,0.14,0,0.14,0.11,0.16,642,1.12,80,88,385,0,0.23,6
485,Wilfred Ndidi,25,12/16/1996,Midfielder,Leicester City,3299,1624,1675,Nigeria,38,19,19,2,2,0,0,0,0,0,0,10,6,4,42,18,24,8,0,0.05,0,0.05,0.11,0,1650,1.15,79,87,412,0,0.22,9
486,Wilfried Zaha,29,11/10/1992,Midfielder,Crystal Palace,3041,1347,1694,Ivory Coast,34,15,19,10,1,9,5,3,2,0,0,10,5,5,45,18,27,10,1,0.44,0.15,0.3,0.07,0.48,304,1.33,68,89,304,608,0.3,2
487,Will Hughes,27,4/17/1995,Midfielder,Watford,2436,1251,1185,England,32,16,16,2,1,1,4,2,2,0,0,5,3,2,39,19,20,5,0,0.22,0.15,0.07,0.07,0.08,1218,1.44,62,76,487,609,0.18,8
488,Willian,34,8/9/1988,Forward,Chelsea,2108,833,1275,Brazil,32,15,17,3,2,1,6,3,3,0,0,13,7,6,23,6,17,2,0,0.38,0.26,0.13,0.22,0.07,703,0.98,92,66,1054,351,0.09,8
489,Willy Boly,31,2/3/1991,Defender,Wolverhampton Wanderers,3169,1530,1639,France,36,17,19,4,2,2,0,0,0,0,0,8,6,2,38,17,21,3,1,0.11,0,0.11,0.12,0.11,792,1.08,83,88,792,0,0.11,4
491,Xherdan Shaqiri,31,10/10/1991,Midfielder,Liverpool,1058,538,520,Switzerland,24,12,12,6,5,1,3,0,3,0,0,12,7,5,5,3,2,2,0,0.77,0.26,0.51,0.84,0.17,176,0.43,212,44,529,353,0.17,4
492,Yan Valery,23,2/22/1999,Defender,Southampton,1715,1070,645,France,23,13,10,2,1,1,1,1,0,0,0,3,1,2,26,17,9,5,1,0.16,0.05,0.1,0.08,0.14,858,1.36,66,75,343,1715,0.26,7
493,Yerry Mina,28,9/23/1994,Defender,Everton,890,360,530,Colombia,13,6,7,1,0,1,0,0,0,0,0,4,3,1,12,3,9,3,0,0.1,0,0.1,0,0.17,890,1.21,74,68,297,0,0.3,9
494,Yoshinori Muto,30,7/15/1992,Forward,Newcastle United,516,180,336,Japan,17,8,9,1,0,1,0,0,0,0,0,5,1,4,10,3,7,1,0,0.17,0,0.17,0,0.27,516,1.74,52,30,516,0,0.17,8
495,Youri Tielemans,25,5/7/1997,Midfielder,Leicester City,1092,575,517,Belgium,13,7,6,3,2,1,4,2,2,0,0,3,3,0,13,5,8,2,0,0.58,0.33,0.25,0.31,0.17,364,1.07,84,84,546,273,0.16,4
